ID_Photo,ID_RCluster,ID_ECluster
365579951,14,22
4276166942,21,22
365580197,14,22
4275420471,21,22
228301128,19,22
4276195502,0,22
4276167068,21,22
3667538418,0,23
3666741153,8,23
3666735145,16,23
3666747109,8,23
3667544706,16,23
3666726541,16,23
3666744973,0,23
3667542506,4,23
3666728911,16,23
3667548544,19,23
3667536318,0,23
4450146705,4,24
4450918750,8,24
4450901954,0,24
4450146443,8,24
3692428393,3,25
3692440007,19,25
3692432075,19,25
3692429307,3,25
3619942217,8,25
3692438119,19,25
3693239402,19,25
3693237164,19,25
3693233490,3,25
78220725,18,26
5304938864,18,26
78221685,18,26
5277296730,18,26
3870752815,0,27
3870744277,0,27
3870742751,0,27
3871535332,0,27
3870748715,0,27
3870741629,0,27
6944884380,14,29
4620948894,0,29
4620948944,0,29
4620948972,0,29
6785658349,0,30
6785653419,0,30
6785644769,3,30
6785639761,3,30
4991028008,3,10
3954461756,3,10
3954462050,21,10
4470475154,3,10
2246837923,4,10
3417709359,0,11
3418518168,0,11
3417709469,0,11
3417709579,8,11
96885985,4,12
3866439834,0,12
13953217589,0,12
13929365918,0,12
5437711934,16,13
8477595044,7,13
8433377404,4,13
5443639528,8,13
5437636018,4,13
4113771260,8,13
6888416267,4,13
5425401437,23,13
8476457789,4,13
196428679,18,14
196428462,16,14
196428205,0,14
196428385,0,14
196428512,16,14
196428293,16,14
25785679545,0,15
23779962893,0,15
23615717833,0,15
25155186514,0,15
4276236070,21,16
4276166942,21,16
4275420471,21,16
4276195502,0,16
4276167068,21,16
4603067402,19,17
4320935824,3,17
5521709672,2,17
4470475154,3,17
5160385162,7,17
4444132671,4,17
3114627247,0,18
758571171,3,18
2797603146,14,18
2284756465,17,18
12488187863,13,19
12482292374,13,19
14819092584,13,19
12467375665,13,19
6011560076,0,1
6011010069,19,1
6011559994,3,1
6011010161,2,1
7305193584,0,2
7305077370,0,2
7305090570,0,2
7325939300,0,2
23104410,16,3
23104432,16,3
23104422,4,3
23104417,4,3
23104442,16,3
23104441,16,3
23104436,16,3
23104439,16,3
2740402798,4,4
2739566339,4,4
2739566577,4,4
2740402270,4,4
6942881706,19,5
12614241193,15,5
12614205555,15,5
385598498,0,5
3208350864,21,5
2074576948,6,5
3484356423,19,5
3484353721,19,5
4810467069,19,5
95534055,19,5
3595115692,0,5
4597653265,0,5
3096667772,0,5
11175326626,3,5
11175335214,11,5
390871318,4,5
370390544,14,5
3147877663,1,5
5219818116,17,5
4719617612,17,5
525072392,0,5
2402159346,0,5
2111181648,7,5
15536407391,19,5
15353075997,22,5
2241244492,20,5
2241240786,20,5
2241237414,20,5
13487993013,2,5
2074577088,6,5
2073784605,6,5
2599857607,16,5
3668031867,0,5
137681097,7,5
2273373988,7,5
8170136072,15,5
6047673511,17,5
4064519551,0,5
8700368138,4,5
5192520205,4,5
5442062812,4,5
1675861347,4,5
1675854397,3,5
92635216,21,5
7357850072,21,5
7357852288,21,5
3843761455,19,5
7501616810,16,5
26220400,4,5
108920838,19,5
300324497,14,5
300324499,14,5
13987373807,3,5
14833810304,0,5
7165734441,5,5
7165735193,5,5
2246837923,4,5
274416736,9,5
274423968,9,5
8588806443,0,5
25692300422,0,5
25182391734,4,5
378085122,2,5
3182682461,3,5
5207801529,4,5
8036208170,4,5
5826175895,8,5
492630596,3,5
318302636,0,5
318301875,0,5
318303231,0,5
4573907176,22,5
4646630968,22,5
117423666,4,5
1428366599,24,5
117423012,4,5
2622253383,2,5
2622253155,4,5
351139050,21,5
351139708,21,5
1394325943,19,5
1395223030,21,5
2636084491,4,5
2636913926,0,5
3975767162,14,5
3975006441,14,5
4603067402,19,5
2284756465,17,5
2068772578,15,5
10501604094,22,5
4470475154,3,5
6893581659,0,5
8453598863,0,5
4832654712,19,5
4832647022,19,5
365579951,14,5
365580197,14,5
5224787344,8,5
5239725707,4,5
9023610,3,5
15679798994,0,5
16301752492,0,5
7371055792,3,5
2704365737,19,5
2286536710,4,5
3775543959,3,5
3775514925,3,5
15540533958,0,5
54716755,4,5
54884617,19,5
3468161035,8,5
3492936226,8,5
3468204233,8,5
4104932678,0,5
496016852,3,5
203343707,19,5
5618931313,23,5
223256598,4,5
5976971544,0,5
7878115002,6,5
510754472,5,5
478137790,5,5
5944072637,21,5
5944626190,21,5
6919625059,3,5
6919591439,3,5
5500324235,0,5
5500948264,0,5
123918709,4,5
2444631776,14,5
3891747822,0,5
3890955773,0,5
4272553799,8,5
36513353,0,5
2844740612,1,5
398928,12,5
398929,12,5
8578032,10,5
8578031,10,5
7641507,19,5
4403445220,19,5
4650394656,0,5
4428878227,4,5
3279229161,4,5
3280048928,4,5
3280050852,4,5
4991028008,3,5
15271165658,2,5
15434693726,2,5
1245885204,0,5
1245023229,0,5
3869219544,4,5
8268926727,0,5
8269992606,0,5
7641002612,8,5
5416953532,4,5
7641002010,19,5
2987097276,8,5
2987102888,17,5
1438291347,4,5
1438291279,4,5
3616027553,19,5
6051519992,3,6
4987191802,3,6
4991028008,3,6
6050968789,7,6
6050966255,7,6
6051518886,7,6
5557237552,3,6
4599146515,3,7
4599771640,3,7
4599744490,3,7
4599743600,3,7
4599127597,4,7
4599157255,22,7
4599149777,3,7
2639308488,4,8
3705162147,22,8
2638473631,4,8
2638470339,4,8
2639305870,4,8
3705158949,22,8
3705155799,22,8
2638477731,4,8
4276166942,21,9
4275420471,21,9
4276195502,0,9
4276167068,21,9
17336542691,0,20
17335007912,0,20
17336546501,0,20
16716682043,0,20
365579951,14,21
352545069,21,21
289927193,0,21
352544723,21,21
365580197,14,21
352543896,21,21
352545541,21,21
