ID_Photo,ID_RCluster,ID_ECluster
6297064428,1,10
14221332723,2,30
10493253965,3,10
10493267594,3,10
10813698596,3,10
11879258014,3,22
12228261423,3,23
13638534335,3,10
14636513134,3,22
16645926117,3,10
4811465419,3,10
5393634174,3,10
5545705463,3,6
5629285703,3,10
5793577512,3,10
6352307157,3,10
6877577216,3,24
6901556140,3,24
6942098762,3,15
7123489615,3,26
7176077820,3,24
7428940610,3,17
8732132776,3,20
9910003004,3,10
14724599828,4,10
16191099069,4,10
7944642696,4,4
8522358612,4,4
10817960285,5,14
15943648653,5,10
5668564237,5,23
6082177123,5,10
6868671376,5,10
8517682317,5,3
8517836971,5,3
8518949286,5,3
8641481806,5,10
8692176903,5,3
8693295112,5,3
10436880344,6,4
10436905666,6,4
10437046103,6,4
13973378702,6,10
14125278137,6,10
14770635240,6,10
14770694498,6,10
14818238277,6,10
5772842148,6,20
7872080300,6,2
8155460308,6,10
9639350920,6,10
14147450924,7,30
15027124189,7,27
15027335678,7,27
15027338077,7,27
15210848321,7,27
16576035101,7,10
5594869664,7,26
5622996846,7,30
5741247914,7,30
6153526151,7,30
6267544710,7,30
9321780327,7,30
9735966455,7,5
12432206635,8,10
14505676987,8,10
14992674241,8,29
4552628351,8,10
5876062824,8,6
7754852796,8,5
15524824471,9,10
16703507263,10,10
19056303213,10,10
5515793643,10,6
6688306145,10,8
16448921470,11,10
24639016932,11,9
24915190591,11,9
25174338054,11,9
5549701862,11,10
5914407851,11,10
6794787892,11,14
8641773156,11,10
8687532382,11,10
9425749604,11,17
15833603688,12,22
6688308947,12,8
15680739061,13,11
16014012504,13,10
16079560765,13,17
16329884478,13,10
16853136515,13,10
14460871318,14,29
14461059377,14,29
14564692680,14,15
14818037819,14,10
15116874856,14,7
15116878856,14,7
15139506992,14,7
15139508412,14,7
15139877065,14,7
15698672696,14,10
16960383867,14,22
19664218212,14,10
25121287545,14,10
4683867574,14,10
4771616956,14,10
4771626448,14,10
6075824045,14,13
6078312359,14,16
6078318229,14,16
6078786806,14,16
6078793822,14,16
6079474218,14,13
6081651106,14,13
6331062522,14,10
6688309565,14,8
6977152357,14,10
7176872558,14,24
7657182878,14,10
8103791955,14,5
8189388376,14,10
8576346528,14,10
8622516690,14,10
6839282280,15,10
6839282332,15,10
