ID_Photo	ID_Cluster
8343311018	11
8342362511	11
16242750736	11
8343329222	11
8342353123	11
8343397158	11
16294145005	11
8342350523	11
8342272707	11
8343475654	11
8343401184	11
8343365200	11
8343408138	11
8342276749	11
16278111605	11
8342357273	11
16082880769	11
8343417894	11
8342371917	11
8342313219	11
15646545974	11
8342311155	11
8343479204	11
8343389780	11
8342269433	11
16081302050	11
8342321425	11
8343447998	11
15646218054	11
8342270539	11
8342336685	11
16242685696	11
8342257573	11
8342403361	11
8342335115	11
8342365131	11
8343442814	11
8343331310	11
16081074938	11
8343467258	11
8343441282	11
16106494100	11
16083279147	11
8343379810	11
15671708474	11
16083079357	11
8343370562	11
8342298509	11
8342378337	11
8342399015	11
8342367567	11
8343456480	11
8342255457	11
8343332432	11
8342259815	11
16081425388	11
8342340523	11
8342332341	11
8343439876	11
8343396382	11
8342419813	11
8342301717	11
8342351663	11
8342372995	11
8342369351	11
8342334517	11
8343342006	11
8342413399	11
8342366641	11
8342304675	11
8343378668	11
16278025195	11
8343410540	11
8343357616	11
16108010637	11
16242960746	11
16293005792	11
8343376358	11
8342297197	11
8342411629	11
8343473296	11
8343435804	11
16081729150	11
8342303803	11
8343384180	11
8342286621	11
15648748653	11
8342324821	11
16266787241	11
8342282801	11
15649007243	11
8343383414	11
8342418499	11
8343412144	11
8342370925	11
15658303473	11
8343346826	11
8342374723	11
8342370011	11
16277354802	11
8342305773	11
8343387342	11
8343385042	11
8343336954	11
8343360944	11
15649114873	11
8342354851	11
16097653939	11
8343372004	11
16081541158	11
8343458474	11
8343377010	11
8343474824	11
8342292155	11
8343375512	11
8342330891	11
8342337601	11
16082872749	11
8343321214	11
8343453236	11
8343451176	11
8342365521	11
8343386670	11
15646559964	11
8343459572	11
8342315943	11
8343445934	11
16082503079	11
15646699934	11
8342330063	11
8342402433	11
16268142922	11
8343325842	11
8342345327	11
8342320025	11
8342280161	11
8343463290	11
8343444276	11
8342348261	11
8343455428	11
8342265331	11
8343343244	11
8342366075	11
8343427022	11
8343422810	11
8342322695	11
8343419988	11
8342310393	11
8343339228	11
16082924619	11
8342278293	11
8343404490	11
15646583884	11
16082460999	11
15648755253	11
8342333037	11
8343393702	11
8342327839	11
8343381290	11
16266780671	11
8343465914	11
8343452172	11
8343400216	11
8343348184	11
16267944206	11
8342294419	11
15648731053	11
8343358674	11
8343391892	11
8342406571	11
8343366284	11
8342295617	11
8342392085	11
8343324520	11
8343367370	11
15648762573	11
8342363467	11
8342364757	11
8342311821	11
8342336085	11
8343374696	11
8343402292	11
8343407182	11
8342358317	11
8342356019	11
8343395104	11
8343351328	11
8343405440	11
8343319406	11
8343454490	11
8343418764	11
8343438594	11
8343399286	11
8343381996	11
8343333370	11
8343397780	11
8342314883	11
8343449358	11
8342410131	11
16081090128	11
16105505978	11
2613570236	13
2613565444	13
2613564440	13
2612731353	13
2612736551	13
2613566546	13
2613569826	13
2612735367	13
2613563872	13
2612734223	13
2613570798	13
2613570556	13
2612734777	13
2613564880	13
2612738595	13
2612735887	13
2612733227	13
4281312051	1
4282231718	1
4281466993	1
4281466977	1
4281368971	1
4281312095	1
4281368967	1
4281383425	1
4281368989	1
4282095480	1
4281383411	1
4281368927	1
4281429519	1
4281429535	1
4281429523	1
4282075122	1
16242750736	2
16294145005	2
16278111605	2
16082880769	2
15646545974	2
16081302050	2
15646218054	2
16242685696	2
16081074938	2
16106494100	2
16083279147	2
15671708474	2
16083079357	2
16081425388	2
16278025195	2
16108010637	2
16242960746	2
16293005792	2
16081729150	2
15648748653	2
16266787241	2
15649007243	2
15658303473	2
16277354802	2
15649114873	2
16097653939	2
16081541158	2
16082872749	2
15646559964	2
16082503079	2
15646699934	2
16268142922	2
16082924619	2
15646583884	2
16082460999	2
15648755253	2
16266780671	2
16267944206	2
15648731053	2
15648762573	2
16081090128	2
16105505978	2
4270053973	4
6688374223	5
6687614449	5
6687598591	5
6687595721	5
6687606597	5
3183891102	6
5428440111	6
16242750736	7
16258645362	7
16294145005	7
16066680540	7
16278111605	7
16073251407	7
16082880769	7
15646545974	7
16258289602	7
16081302050	7
16258427111	7
15646218054	7
16242685696	7
16060265039	7
16073926199	7
16059119158	7
16105572939	7
16221066006	7
16081074938	7
16227823626	7
16106494100	7
16083279147	7
15671708474	7
16083079357	7
15624506284	7
16252197891	7
16258388221	7
16225678766	7
15671834703	7
16081425388	7
15671859253	7
15671865813	7
16258329852	7
16249430951	7
16252514821	7
16278025195	7
16059421528	7
16108010637	7
16242960746	7
16060595309	7
16293005792	7
16081729150	7
16220941226	7
15648748653	7
16259181385	7
16266787241	7
16244556781	7
15649007243	7
15658303473	7
16244765441	7
16245807582	7
16258384502	7
16277354802	7
16289940251	7
15631587353	7
15649114873	7
16097653939	7
16060750107	7
16081541158	7
16225434626	7
16259188845	7
16082872749	7
16059029878	7
15639242323	7
15646559964	7
16074363297	7
16082503079	7
15646699934	7
16268142922	7
16253536712	7
16082924619	7
15646583884	7
16082460999	7
15648755253	7
16266780671	7
16260352585	7
16267944206	7
16066537688	7
15648731053	7
16072982739	7
15631322044	7
15648762573	7
16072665328	7
15628962494	7
16105859707	7
16289914041	7
16071764220	7
16252910082	7
16105589509	7
16059487850	7
15626749693	7
16081090128	7
15640325403	7
16105505978	7
8343311018	8
8342362511	8
8343329222	8
8342353123	8
8343397158	8
8342350523	8
8342272707	8
8343475654	8
8343401184	8
8343365200	8
8343408138	8
8342276749	8
8342357273	8
8343417894	8
8342371917	8
8342313219	8
8342311155	8
8343479204	8
8343389780	8
8342269433	8
8342321425	8
8343447998	8
8342270539	8
8342336685	8
8342257573	8
8342403361	8
8342335115	8
8342365131	8
8343442814	8
8343331310	8
8343467258	8
8343441282	8
8343379810	8
8343370562	8
8342298509	8
8342378337	8
8342399015	8
8342367567	8
8343456480	8
8342255457	8
8343332432	8
8342259815	8
8342340523	8
8342332341	8
8343439876	8
8343396382	8
8342419813	8
8342301717	8
8342351663	8
8342372995	8
8342369351	8
8342334517	8
8343342006	8
8342413399	8
8342366641	8
8342304675	8
8343378668	8
8343410540	8
8343357616	8
8343376358	8
8342297197	8
8342411629	8
8343473296	8
8343435804	8
8342303803	8
8343384180	8
8342286621	8
8342324821	8
8342282801	8
8343383414	8
8342418499	8
8343412144	8
8342370925	8
8343346826	8
8342374723	8
8342370011	8
8342305773	8
8343387342	8
8343385042	8
8343336954	8
8343360944	8
8342354851	8
8343372004	8
8343458474	8
8343377010	8
8343474824	8
8342292155	8
8343375512	8
8342330891	8
8342337601	8
8343321214	8
8343453236	8
8343451176	8
8342365521	8
8343386670	8
8343459572	8
8342315943	8
8343445934	8
8342330063	8
8342402433	8
8343325842	8
8342345327	8
8342320025	8
8342280161	8
8343463290	8
8343444276	8
8342348261	8
8343455428	8
8342265331	8
8343343244	8
8342366075	8
8343427022	8
8343422810	8
8342322695	8
8343419988	8
8342310393	8
8343339228	8
8342278293	8
8343404490	8
8342333037	8
8343393702	8
8342327839	8
8343381290	8
8343465914	8
8343452172	8
8343400216	8
8343348184	8
8342294419	8
8343358674	8
8343391892	8
8342406571	8
8343366284	8
8342295617	8
8342392085	8
8343324520	8
8343367370	8
8342363467	8
8342364757	8
8342311821	8
8342336085	8
8343374696	8
8343402292	8
8343407182	8
8342358317	8
8342356019	8
8343395104	8
8343351328	8
8343405440	8
8343319406	8
8343454490	8
8343418764	8
8343438594	8
8343399286	8
8343381996	8
8343333370	8
8343397780	8
8342314883	8
8343449358	8
8342410131	8
5428439559	9
5428439261	9
5428440111	9
5428439851	9
5429043720	9
5428438319	9
5429041582	9
5428440111	10
